horizon,anchor_horizon,selected_config_id,selected_iterations,n_features,n_train,n_calibration,n_validation,n_test,q_hat,q_level,validation_mae,validation_rmse,validation_coverage,validation_width,validation_interval_score,test_mae,test_rmse,test_coverage,test_width,test_interval_score,model_path
13,12,regularized,475,21,25504,8607,8437,8381,2.062289457647765,0.8001626583013826,13.362414364309986,16.94903290473026,0.788787483702738,41.95512383251112,57.606238131879465,15.635471086673212,19.694714363145867,0.6934733325378833,41.717297332729196,71.08783151297231,models\catboost_cqr_horizon_extension\catboost_multiquantile_h13.joblib
14,12,regularized,475,21,25503,8607,8437,8381,2.3543528907378573,0.8001626583013826,13.416561279055284,17.01867221299601,0.7932914543084034,42.31340853985606,57.88815387433301,15.705887217028156,19.743066055150045,0.6933540150340055,41.84457270761206,71.86837631071752,models\catboost_cqr_horizon_extension\catboost_multiquantile_h14.joblib
15,12,regularized,475,21,25502,8607,8437,8381,2.6327211663543224,0.8001626583013826,13.4531189034056,17.085572759740305,0.7937655564774209,42.63906975270109,58.12700942488645,15.787666613042386,19.847992544069996,0.6928767450184942,41.94579086807416,72.26595382509055,models\catboost_cqr_horizon_extension\catboost_multiquantile_h15.joblib
16,12,regularized,475,21,25501,8607,8437,8381,2.3380991543288587,0.8001626583013826,13.496264531653445,17.14928114231994,0.7847576152660899,42.306254200497776,58.39416223857182,15.889393391282255,19.975735888435803,0.6828540746927574,41.44090754831099,72.87289978764986,models\catboost_cqr_horizon_extension\catboost_multiquantile_h16.joblib
17,12,regularized,475,21,25500,8607,8437,8381,2.459850688517193,0.8001626583013826,13.532656304011104,17.21106418298356,0.78748370273794,42.55560538519162,58.7067366220261,15.962086673354355,20.08940200931802,0.6854790597780694,41.854708616547676,73.22809553617424,models\catboost_cqr_horizon_extension\catboost_multiquantile_h17.joblib
18,12,regularized,475,20,25499,8607,8437,8381,2.4344845852697006,0.8001626583013826,13.625836791907254,17.308755053368387,0.7898542135830271,42.53777529737974,58.78764280141059,16.1437797036961,20.29641311533054,0.6814222646462236,41.611547112609195,73.66058917734956,models\catboost_cqr_horizon_extension\catboost_multiquantile_h18.joblib
19,24,base,105,21,25498,8607,8437,8381,0.7423038666037356,0.8001626583013826,13.707951056283314,17.336152718080825,0.7845205641815811,42.816328705875335,58.643156701528106,16.1362443234494,20.280029924429662,0.6993198902278964,43.481759025174554,72.3047371394104,models\catboost_cqr_horizon_extension\catboost_multiquantile_h19.joblib
20,24,base,105,21,25497,8607,8437,8381,0.7152226475822254,0.8001626583013826,13.711267085434763,17.348329728061596,0.783809410928055,42.92697156182436,58.63920690752442,16.116868396386334,20.29533340918608,0.6977687626774848,43.50521735119201,72.0835587633198,models\catboost_cqr_horizon_extension\catboost_multiquantile_h20.joblib
21,24,base,105,20,25496,8607,8437,8381,0.7264397656119153,0.8001626583013826,13.719937159147849,17.366077101585418,0.7849946663505986,42.72834716117152,58.7500632351912,16.154165045344314,20.339605459574024,0.7007517002744302,43.315254334100985,72.25242684655062,models\catboost_cqr_horizon_extension\catboost_multiquantile_h21.joblib
22,24,base,105,20,25495,8607,8437,8381,0.7589732541177199,0.8001626583013826,13.70926948614873,17.36875121081412,0.7841649875548181,42.86212914522605,58.73997453979477,16.246133870038864,20.43047078573742,0.6997971602434077,43.466949614007646,72.21850775848473,models\catboost_cqr_horizon_extension\catboost_multiquantile_h22.joblib
23,24,base,105,20,25494,8607,8437,8381,0.7945566335638574,0.8001626583013826,13.7256926913825,17.408310864519404,0.7861799217731421,43.049621810920456,59.02234872544923,16.273427939001788,20.484190447442778,0.702899415344231,43.71378373345965,72.65515762205422,models\catboost_cqr_horizon_extension\catboost_multiquantile_h23.joblib
24,24,base,105,20,25493,8607,8437,8381,0.6392730834692291,0.8001626583013826,13.810671597783099,17.48008242722083,0.7776460827308285,42.960028522341744,59.23581250045546,16.364638170427693,20.574421402838404,0.695024460088295,43.489769291860085,73.27439589334553,models\catboost_cqr_horizon_extension\catboost_multiquantile_h24.joblib
